City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Barrow,US,2022-10-13 20:58:09,71.2906,-156.7887,27.0,68,100,6.96,overcast clouds
92,San Jose,US,2022-10-13 20:59:04,37.3394,-121.895,80.91,54,0,6.91,clear sky
93,Norman Wells,CA,2022-10-13 20:59:56,65.282,-126.8329,28.44,80,100,18.41,overcast clouds
94,Nuuk,GL,2022-10-13 20:59:56,64.1835,-51.7216,29.88,63,0,13.0,clear sky
95,San Patricio,US,2022-10-13 20:55:58,28.017,-97.5169,96.19,58,85,7.34,overcast clouds
96,Meulaboh,ID,2022-10-13 20:59:57,4.1363,96.1285,75.31,88,98,3.76,overcast clouds
97,Marsh Harbour,BS,2022-10-13 20:59:57,26.5412,-77.0636,79.92,74,100,6.91,heavy intensity rain
98,Bar Harbor,US,2022-10-13 20:59:58,44.3876,-68.2039,61.47,81,81,5.99,broken clouds
99,Severo-Kurilsk,RU,2022-10-13 20:59:58,50.6789,156.125,43.79,74,100,10.51,overcast clouds
100,Dikson,RU,2022-10-13 20:59:58,73.5069,80.5464,33.04,98,100,27.69,light snow
101,Berlevag,NO,2022-10-13 20:59:59,70.8578,29.0864,35.6,86,0,12.66,clear sky
102,Stargard Szczecinski,PL,2022-10-13 20:59:59,53.3367,15.0499,52.83,86,99,5.95,overcast clouds
103,Camopi,GF,2022-10-13 20:59:59,3.1655,-52.3158,81.91,66,97,2.68,overcast clouds
104,Pervomaysk,UA,2022-10-13 20:59:01,48.0443,30.8507,45.84,61,6,5.95,clear sky
105,Nikolskoye,RU,2022-10-13 21:00:00,59.7035,30.7861,42.69,91,100,4.88,overcast clouds
106,Burriana,ES,2022-10-13 21:00:00,39.889,-0.085,69.67,82,64,3.85,broken clouds
107,Srisailam,IN,2022-10-13 21:00:01,16.0833,78.8667,71.33,97,100,2.39,overcast clouds
108,Taicheng,CN,2022-10-13 21:00:01,38.731,113.228,51.42,57,100,2.37,overcast clouds
109,Ribeira Grande,PT,2022-10-13 21:00:02,38.5167,-28.7,72.77,88,70,5.99,broken clouds
110,Provideniya,RU,2022-10-13 21:00:06,64.3833,-173.3,26.71,74,20,4.47,few clouds
111,Xuanzhou,CN,2022-10-13 21:00:08,30.9525,118.7553,55.87,95,0,5.3,clear sky
112,Granville,AU,2022-10-13 21:00:08,-33.8333,151.0167,65.43,85,97,3.0,light rain
113,Yatou,CN,2022-10-13 21:00:16,37.15,122.3833,56.52,75,99,1.19,overcast clouds
114,Avarua,CK,2022-10-13 21:00:17,-21.2078,-159.775,78.85,83,75,14.97,broken clouds
115,Goderich,CA,2022-10-13 21:00:18,43.7501,-81.7165,52.92,60,82,24.29,broken clouds
116,Praia Da Vitoria,PT,2022-10-13 21:00:20,38.7333,-27.0667,69.62,77,18,10.54,few clouds
117,Lavrentiya,RU,2022-10-13 21:00:20,65.5833,-171.0,25.77,49,22,3.6,few clouds
118,Bago,MM,2022-10-13 21:00:21,17.3367,96.4797,74.08,94,7,4.18,clear sky
119,Kamaishi,JP,2022-10-13 21:00:21,39.2667,141.8833,53.47,79,1,6.31,clear sky
120,Yuzhnyy,RU,2022-10-13 21:00:22,53.2542,83.6936,35.98,75,0,4.47,clear sky
121,Mar Del Plata,AR,2022-10-13 21:00:23,-38.0023,-57.5575,54.95,44,2,14.0,clear sky
122,Lagoa,PT,2022-10-13 21:00:23,39.05,-27.9833,70.57,80,61,15.61,broken clouds
123,Raudeberg,NO,2022-10-13 21:00:24,61.9875,5.1352,47.07,69,68,16.13,broken clouds
124,Comodoro Rivadavia,AR,2022-10-13 21:00:25,-45.8667,-67.5,53.56,39,55,8.19,broken clouds
125,Lithakia,GR,2022-10-13 21:00:26,37.7167,20.8333,65.57,73,99,4.61,overcast clouds
126,Eldorado,BR,2022-10-13 21:00:26,-23.7869,-54.2836,71.11,93,100,4.21,moderate rain
127,Springbok,ZA,2022-10-13 21:00:27,-29.6643,17.8865,55.92,68,0,3.65,clear sky
