City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Talnakh,RU,25.5,overcast clouds,69.4865,88.3972,Talnakh Hotel
217,Jidong,CN,43.86,clear sky,45.2167,131.0833,Yulong Mountain Villa
218,Burnie,AU,47.95,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
223,Krasnaya Polyana,RU,46.63,overcast clouds,56.242,51.1442,Bereg
226,Muhos,FI,47.98,light rain,64.808,25.9931,Montta - active camping / campsite Montan
233,Bakchar,RU,31.89,few clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
234,Kautokeino,NO,34.88,broken clouds,69.0125,23.0412,Thon Hotel Kautokeino
235,Whitehorse,CA,51.31,light intensity shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
238,Tazovskiy,RU,36.75,overcast clouds,67.4667,78.7,TazHostel
239,Maksatikha,RU,35.13,few clouds,57.797,35.8825,"Hotel ""Mologa"""
254,Beipiao,CN,52.81,light rain,41.7919,120.7792,Beipiao Hotel
256,Hanstholm,DK,50.0,clear sky,57.1167,8.6167,Hotel Hanstholm
257,Korla,CN,49.55,clear sky,41.7597,86.1469,Gulisitan Hotel
258,Thompson,CA,33.96,light snow,55.7435,-97.8558,Burntwood Hotel
259,Honningsvag,NO,40.75,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
262,Hay River,CA,53.28,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
263,Longyearbyen,SJ,28.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
270,Iqaluit,CA,25.7,clear sky,63.7506,-68.5145,Frobisher Inn
271,Colac,AU,49.17,overcast clouds,-38.3333,143.5833,Otway Gate Motel
275,Havre-Saint-Pierre,CA,49.78,overcast clouds,50.2334,-63.5986,Auberge Niapiskau 2
276,Necochea,AR,50.29,clear sky,-38.5473,-58.7368,dyd -mar Hotel
277,Bluff,NZ,45.57,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
