City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Welahan,-6.8,110.7167,75.24,84,76,7.58,ID,2022-10-12 21:24:25
126,Bonthe,7.5264,-12.505,75.51,85,100,6.96,SL,2022-10-12 21:24:26
127,Forestville,38.8451,-76.875,69.98,63,20,11.5,US,2022-10-12 21:24:27
128,Necochea,-38.5473,-58.7368,58.57,57,43,6.4,AR,2022-10-12 21:24:28
129,Burnie,-41.0667,145.9167,56.95,94,100,15.14,AU,2022-10-12 21:23:06
130,Ucluelet,48.9329,-125.5528,63.09,70,6,1.01,CA,2022-10-12 21:24:30
131,Albany,42.6001,-73.9662,66.61,50,100,3.0,US,2022-10-12 21:21:12
132,Morehead,37.2711,-87.1764,83.41,33,82,15.41,US,2022-10-12 21:24:32
133,Naze,28.3667,129.4833,74.32,78,86,22.26,JP,2022-10-12 21:23:17
134,Longyearbyen,78.2186,15.6401,33.64,80,75,3.44,SJ,2022-10-12 21:23:31
135,Almaznyy,48.0448,40.045,44.76,57,0,5.66,RU,2022-10-12 21:24:35
136,Villa Carlos Paz,-31.4241,-64.4978,85.39,18,0,11.01,AR,2022-10-12 21:24:36
137,Elko,41.0002,-115.5012,74.23,19,0,7.0,US,2022-10-12 21:24:38
138,Sur,22.5667,59.5289,78.58,48,8,7.58,OM,2022-10-12 21:24:39
139,Tual,-5.6667,132.75,83.53,73,76,12.48,ID,2022-10-12 21:24:39
140,Les Cayes,18.2,-73.75,84.65,68,88,6.67,HT,2022-10-12 21:24:40
141,Ossora,59.2353,163.0719,30.09,93,100,15.21,RU,2022-10-12 21:24:41
142,Seoul,37.5683,126.9778,53.04,97,0,3.44,KR,2022-10-12 21:23:26
143,Boksitogorsk,59.474,33.8485,33.6,96,11,4.43,RU,2022-10-12 21:24:43
144,Ponta Do Sol,32.6667,-17.1,72.72,73,41,5.01,PT,2022-10-12 21:24:44
145,Port-Cartier,50.0334,-66.8654,46.74,72,16,4.47,CA,2022-10-12 21:24:45
146,Eenhana,-17.4667,16.3333,73.72,16,22,7.56,NA,2022-10-12 21:21:26
147,Pisco,-13.7,-76.2167,64.45,72,0,19.57,PE,2022-10-12 21:24:47
148,Tomatlan,19.9333,-105.25,88.79,54,74,7.58,MX,2022-10-12 21:24:47
149,Port Elizabeth,-33.918,25.5701,66.49,94,40,6.91,ZA,2022-10-12 21:21:27
150,Novosheshminsk,55.0651,51.2338,49.41,85,96,6.49,RU,2022-10-12 21:24:48
151,Ludvika,60.1496,15.1878,47.77,90,98,9.86,SE,2022-10-12 21:24:48
152,Avarua,-21.2078,-159.775,78.85,83,75,17.27,CK,2022-10-12 21:24:48
153,Camacha,33.0833,-16.3333,67.42,73,40,12.66,PT,2022-10-12 21:24:49
154,Hovd,48.0056,91.6419,36.59,37,7,5.12,MN,2022-10-12 21:24:49
155,Upernavik,72.7868,-56.1549,13.6,79,3,6.67,GL,2022-10-12 21:24:51
